ARATH	AT5G02560.2	-	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
ARATH	AT5G59870.1	0	-	0	0.7	1	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
ORYSI	BGIOSGA019051-PA	0	0	-	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.9	0.9	1	0.9	1	1	0.9	0	0	0	0	0	0	0	0	0
BRARP	Bra002523.1-P	0	0.7	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
BRARP	Bra006688.1-P	0	1	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
BRARP	Bra020278.1-P	0	0.9	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
BRARP	Bra028869.1-P	0.8	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
SOYBN	GLYMA13G40890.1	0	0	0.1	0	0	0	0	-	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0
SOYBN	GLYMA13G40900.1	0	0	0.1	0	0	0	0	0	-	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0
SOYBN	GLYMA13G40940.1	0	0	0.1	0	0	0	0	0	0	-	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0
SOYBN	GLYMA15G04520.1	0	0	0.1	0	0	0	0	0	0	0	-	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0
SOYBN	GLYMA15G04530.1	0	0	0.1	0	0	0	0	0	0	0	0	-	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0
SOYBN	GLYMA15G04540.1	0	0	0.1	0	0	0	0	0	0	0	0	0	-	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0
MUSAM	GSMUA_Achr10P02580_001	0	0	0.1	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	-	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0
ORYBR	OB05G11010.1	0	0	0.9	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	-	1	0.9	1	0.9	0.9	1	0	0	0	0	0	0	0	0	0
ORYBA	OBART05G01020.1	0	0	0.9	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	-	0.9	1	0.9	0.9	1	0	0	0	0	0	0	0	0	0
ORYGU	OGLUM05G01030.1	0	0	1	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.9	0.9	-	0.9	1	1	0.9	0	0	0	0	0	0	0	0	0
ORYME	OMERI05G01050.1	0	0	0.9	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	0.9	-	0.9	0.9	1	0	0	0	0	0	0	0	0	0
ORYNI	ONIVA05G01040.1	0	0	1	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.9	0.9	1	0.9	-	1	0.9	0	0	0	0	0	0	0	0	0
ORYPU	OPUNC05G00910.1	0	0	1	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.9	0.9	1	0.9	1	-	0.9	0	0	0	0	0	0	0	0	0
ORYGL	ORGLA05G0010500.1	0	0	0.9	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	0.9	1	0.9	0.9	-	0	0	0	0	0	0	0	0	0
POPTR	POPTR_0006s08230.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	-	0	0.1	0.1	0.1	0.1	0.1	0.1	0
SOLLC	Solyc01g099410.2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0
VITVI	VIT_00s0194g00360.t01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0	-	0	0	0	0	0	0
VITVI	VIT_00s0259g00020.t01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0	0	-	0	0	0	0	0
VITVI	VIT_00s0259g00040.t01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0	0	0	-	0	0	0	0
VITVI	VIT_00s0753g00020.t01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0	0	0	0	-	0	0	0
VITVI	VIT_06s0004g04270.t01	0.1	0	0	0	0	0	0.1	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0	0	0	0	0	-	0	0
VITVI	VIT_08s0040g03300.t01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	-	0
ARALL	fgenesh1_pg.C_scaffold_8001992	0	0.5	0	0.6	0.9	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
